#observed;actual;antenna;datetime
0;0;32;02/07/15 12:30 AM
0;0;32;02/07/15 12:31 AM
0;0;32;02/07/15 12:32 AM
0;0;32;02/07/15 12:33 AM
0;0;32;02/07/15 12:34 AM
7;10;32;02/07/15 12:35 AM
4;36;32;02/07/15 12:36 AM
0;37;32;02/07/15 12:37 AM
0;38;32;02/07/15 12:38 AM
0;51;32;02/07/15 12:39 AM
0;54;32;02/07/15 12:40 AM
0;47;32;02/07/15 12:41 AM
0;47;32;02/07/15 12:42 AM
0;49;32;02/07/15 12:43 AM
0;51;32;02/07/15 12:44 AM
0;41;32;02/07/15 12:45 AM
0;42;32;02/07/15 12:46 AM
0;51;32;02/07/15 12:47 AM
0;47;32;02/07/15 12:48 AM
0;47;32;02/07/15 12:49 AM
0;51;32;02/07/15 12:50 AM
0;50;32;02/07/15 12:51 AM
0;46;32;02/07/15 12:52 AM
0;54;32;02/07/15 12:53 AM
0;53;32;02/07/15 12:54 AM
0;48;32;02/07/15 12:55 AM
0;45;32;02/07/15 12:56 AM
0;52;32;02/07/15 12:57 AM
0;46;32;02/07/15 12:58 AM
0;50;32;02/07/15 12:59 AM
0;36;32;02/07/15 01:00 AM
0;38;32;02/07/15 01:01 AM
0;47;32;02/07/15 01:02 AM
0;44;32;02/07/15 01:03 AM
0;43;32;02/07/15 01:04 AM
0;43;32;02/07/15 01:05 AM
0;46;32;02/07/15 01:06 AM
0;41;32;02/07/15 01:07 AM
0;43;32;02/07/15 01:08 AM
0;31;32;02/07/15 01:09 AM
0;35;32;02/07/15 01:10 AM
0;38;32;02/07/15 01:11 AM
0;38;32;02/07/15 01:12 AM
0;36;32;02/07/15 01:13 AM
0;42;32;02/07/15 01:14 AM
0;37;32;02/07/15 01:15 AM
0;22;32;02/07/15 01:16 AM
0;13;32;02/07/15 01:17 AM
0;19;32;02/07/15 01:18 AM
0;22;32;02/07/15 01:19 AM
0;23;32;02/07/15 01:20 AM
0;17;32;02/07/15 01:21 AM
0;16;32;02/07/15 01:22 AM
0;9;32;02/07/15 01:23 AM
0;3;32;02/07/15 01:24 AM
0;5;32;02/07/15 01:25 AM
0;16;32;02/07/15 01:26 AM
0;15;32;02/07/15 01:27 AM
0;6;32;02/07/15 01:28 AM
0;15;32;02/07/15 01:29 AM
0;25;32;02/07/15 01:30 AM
0;25;32;02/07/15 01:31 AM
0;18;32;02/07/15 01:32 AM
0;1;32;02/07/15 01:33 AM
0;8;32;02/07/15 01:34 AM
0;5;32;02/07/15 01:35 AM
0;7;32;02/07/15 01:36 AM
0;8;32;02/07/15 01:37 AM
0;19;32;02/07/15 01:38 AM
0;19;32;02/07/15 01:39 AM
0;3;32;02/07/15 01:40 AM
0;3;32;02/07/15 01:41 AM
0;4;32;02/07/15 01:42 AM
0;7;32;02/07/15 01:43 AM
0;5;32;02/07/15 01:44 AM
0;5;32;02/07/15 01:45 AM
0;6;32;02/07/15 01:46 AM
0;0;32;02/07/15 01:47 AM
0;3;32;02/07/15 01:48 AM
